method_id	run_id	seed	commit	validation_loss	n_runs	validation_loss_mean	validation_loss_std	delta	p_at_l	train_loss	training_seconds	actual_steps	model_tokens_M	params_M	memory_GB	evaluation_seconds	status	description
r21_batch32	r21_batch32-seed43-kn056-20260906T095440Z	43	NA	2.593340892344713	2	2.59766005910933	0.006108224216672435	-0.0032881274819374084	0.10023499823668175	2.652765939235687	3600.1283084377646	19376	586.05084	170.671168	11.238757133483887	263.08519431483	discard	Halve per-rank microbatch from64 to32 (global batch128), retaining accumulation1 and the accepted R10 model, loss and per-step optimizer recipe.
r22_ffn1536	r22_ffn1536-seed42-kn081-20260906T111309Z	42	NA	2.5900170989334583	2	2.590952418744564	0.0013227419620219622	0.0034195128828287125	0.09627286725924138	2.6430711913108826	3600.227919776924	11178	675.938558	142.359616	17.111530780792236	423.2899198960513	keep	Narrow all24 SwiGLU FFN hidden dimensions2048->1536 (142359616 parameters), retaining the R10 attention architecture, batch256, loss and per-step optimizer recipe.
r22_ffn1536	r22_ffn1536-seed43-kn056-20260906T111309Z	43	NA	2.59188773855567	2	2.590952418744564	0.0013227419620219622	0.0034195128828287125	0.10031101023208855	2.645797984600067	3600.031980429776	11118	672.626676	142.359616	17.080778121948242	239.49613662203774	keep	Narrow all24 SwiGLU FFN hidden dimensions2048->1536 (142359616 parameters), retaining the R10 attention architecture, batch256, loss and per-step optimizer recipe.
r23_zloss	r23_zloss-seed42-kn081-20260906T123228Z	42	NA	2.5989885218441486	2	2.5999145098030567	0.0013095447300819885	-0.00896209105849266	0.09909528677343807	2.6435548639297486	3600.1595063288696	11175	675.752976	142.359616	17.111531734466553	224.2135515427217	discard	Add1e-4 masked logit z-loss with global sqrt-mask-count sequence weighting to accepted R22; report original MLM loss separately.
r23_zloss	r23_zloss-seed43-kn056-20260906T123228Z	43	NA	2.600840497761965	2	2.5999145098030567	0.0013095447300819885	-0.00896209105849266	0.09747377421593073	2.645685837268829	3600.096719321329	11190	676.976299	142.359616	17.08077907562256	206.34731322992593	discard	Add1e-4 masked logit z-loss with global sqrt-mask-count sequence weighting to accepted R22; report original MLM loss separately.
r24_ffn1024	r24_ffn1024-seed42-kn081-20260906T134921Z	42	NA	2.5950704645365477	2	2.5981303891167045	0.00432738684109655	-0.0071779703721404076	0.09951391298248805	2.646404857635498	3600.0695681059733	12279	742.498977	114.048064	15.146510601043701	222.43516430817544	discard	Narrow all24 SwiGLU FFN hidden dimensions1536->1024 (114048064 parameters), retaining the accepted R22 attention architecture, batch256, sqrt-count MLM and optimizer recipe.
r24_ffn1024	r24_ffn1024-seed43-kn056-20260906T134921Z	43	NA	2.6011903136968613	2	2.5981303891167045	0.00432738684109655	-0.0071779703721404076	0.10551984077584066	2.6433655643463134	3600.2348521691747	12226	739.623456	114.048064	15.138411521911621	254.67367307655513	discard	Narrow all24 SwiGLU FFN hidden dimensions1536->1024 (114048064 parameters), retaining the accepted R22 attention architecture, batch256, sqrt-count MLM and optimizer recipe.
r25_ffnprofile	r25_ffnprofile-seed42-kn081-20260906T151455Z	42	NA	2.595098178833723	2	2.5941735841333866	0.001307574364914104	-0.0032211653888225555	0.10638096269821629	2.6437209129333494	3600.1749447057955	11240	679.697388	142.359616	17.10621690750122	287.2278734962456	discard	Redistribute the same total FFN width using a training-only angular-work profile: layer1=3072, layers2-7=1280, layers8-24=1536; retain142359616 parameters and accepted R22 attention, batch256, sqrt-count MLM and optimizer recipe.
r25_ffnprofile	r25_ffnprofile-seed43-kn056-20260906T151455Z	43	NA	2.59324898943305	2	2.5941735841333866	0.001307574364914104	-0.0032211653888225555	0.10379307662886174	2.644370632171631	3600.041141972877	11199	677.51619	142.359616	17.069467067718506	260.3904819767922	discard	Redistribute the same total FFN width using a training-only angular-work profile: layer1=3072, layers2-7=1280, layers8-24=1536; retain142359616 parameters and accepted R22 attention, batch256, sqrt-count MLM and optimizer recipe.
r26_valueres	r26_valueres-seed42-kn081-20260906T163327Z	42	NA	2.5971374958753586	2	2.6003530491143465	0.004547479001109455	-0.009400630369782448	0.11181480359646992	2.6403492975234983	3600.1201231358573	10917	660.137984	142.359616	15.959511280059814	256.22340472089127	discard	Identity value residual: mix first-layer and current attention values equally in layers2-24 with intact cross-layer gradients and cached first QKV; retain accepted R22 shapes,142359616 parameters, batch256, sqrt-count MLM and optimizer recipe.
